id_fakta,id_waktu,id_kecamatan,id_tanah,id_komoditas,id_pupuk,Temperature,Humidity,Moisture,Nitrogen,Potassium,Phosphorus
234,54,1,2,8,5,26.44,65.84,50.2,10,0,9
235,1143,4,4,11,7,28.93,50.28,20.33,8,0,12
236,628,1,5,4,4,30.06,53.68,70.0,7,6,34
237,587,1,2,8,2,35.29,64.13,46.59,16,13,13
238,104,1,3,8,6,24.61,63.9,70.0,41,2,0
239,254,3,2,5,2,29.38,60.44,45.57,19,0,22
240,1250,4,4,1,6,30.2,51.16,32.5,20,0,19
241,1135,4,5,9,2,32.46,68.2,64.77,11,0,9
242,510,3,2,6,6,24.26,53.19,67.73,34,0,4
243,99,1,2,3,6,37.9,75.51,25.35,11,0,35
244,153,1,5,2,7,31.1,55.48,46.43,34,0,2
245,914,2,1,11,7,31.75,62.4,34.97,17,0,15
246,878,2,1,8,4,27.29,57.56,53.09,15,11,11
247,338,2,3,7,2,26.71,55.89,69.87,15,0,40
248,822,3,1,6,6,29.25,56.07,33.6,21,0,18
249,1186,4,4,1,3,29.73,58.67,29.64,17,0,20
250,957,2,2,6,2,31.62,57.88,42.77,10,12,18
251,161,4,3,4,2,25.93,54.07,23.84,8,13,12
252,801,4,5,4,4,26.47,55.37,59.34,11,1,12
253,398,4,1,1,3,21.92,53.0,33.57,18,0,42
254,816,3,2,6,5,24.35,58.11,34.04,4,0,10
255,1158,3,4,9,1,29.55,45.99,50.06,9,4,10
256,1218,3,1,8,6,28.29,60.24,33.44,33,0,2
257,401,3,3,8,2,31.31,73.26,70.0,11,2,41
258,640,2,3,2,3,30.05,58.21,23.31,43,0,0
259,1057,1,5,7,2,31.27,62.18,32.06,21,4,24
260,688,1,3,3,7,32.51,61.45,70.0,10,1,32
261,460,1,5,6,5,23.98,44.94,20.0,14,11,13
262,955,2,5,10,1,30.28,69.29,53.16,39,1,2
263,470,1,5,9,4,28.02,54.85,55.71,10,9,18
264,1046,2,1,9,6,28.66,56.26,39.29,37,0,1
265,750,2,1,5,1,30.85,70.39,29.35,22,0,26
266,38,2,3,8,7,24.51,62.55,65.83,13,4,5
267,230,1,1,3,2,22.33,56.84,29.98,18,4,23
268,563,4,5,10,2,29.75,55.39,28.42,42,1,4
269,438,1,2,3,1,28.27,52.86,22.36,41,0,2
270,27,1,3,7,1,33.27,67.2,40.49,17,0,12
271,226,3,3,5,3,38.53,70.2,28.94,10,0,32
272,798,2,5,6,4,25.2,60.02,69.92,8,14,31
273,284,4,4,11,4,23.66,55.66,31.32,38,0,2
274,879,3,1,11,2,35.01,71.58,39.2,9,0,16
275,960,4,2,4,2,36.92,69.78,32.64,12,2,31
276,453,4,4,10,1,23.74,47.23,43.64,18,0,19
277,1020,2,1,10,2,30.51,48.99,28.68,6,0,11
278,816,1,1,10,7,27.02,68.83,33.05,0,16,19
279,659,2,4,1,7,27.77,42.89,59.1,6,2,13
280,547,2,4,2,7,39.65,63.55,47.33,3,12,30
281,1215,3,4,1,4,37.27,64.08,36.28,15,4,45
282,1073,2,1,8,4,27.93,64.17,62.13,7,0,6
283,17,1,1,9,5,29.95,61.75,36.58,37,0,0
284,1195,4,5,7,4,24.97,59.24,47.46,26,0,21
285,1243,2,2,7,3,27.68,61.68,59.47,18,0,36
286,158,4,1,2,3,23.82,47.74,30.62,2,20,12
287,477,2,2,8,6,34.57,69.61,57.23,38,0,0
288,1070,4,3,8,4,35.1,70.14,56.12,16,0,44
289,518,2,1,1,2,33.71,59.42,29.32,16,0,38
290,99,3,2,2,1,24.75,45.31,49.7,23,0,23
291,1061,4,3,5,1,37.36,59.64,53.7,3,12,31
292,280,2,1,4,1,32.22,56.29,48.76,35,0,2
293,497,2,3,7,4,32.35,48.81,46.33,31,3,0
294,302,3,2,2,1,40.0,80.0,59.99,42,0,0
295,181,3,4,2,6,25.85,62.32,48.82,33,3,0
296,607,3,4,1,6,30.61,66.36,42.09,8,22,18
297,1122,4,3,4,5,34.51,54.79,54.12,5,6,26
298,700,4,4,7,4,29.66,43.74,43.31,35,3,2
299,993,3,4,4,6,31.75,46.82,37.35,16,0,15
300,1139,1,4,6,1,25.43,68.65,39.28,20,0,17
301,191,1,3,11,3,30.97,58.53,29.79,10,21,13
302,253,2,4,6,1,28.58,71.66,46.04,10,12,9
303,981,1,1,11,4,29.87,63.64,61.4,15,16,10
304,928,2,4,4,5,25.09,54.56,34.08,19,0,21
305,1184,4,4,2,6,29.76,45.13,30.91,35,2,0
306,128,4,1,10,7,31.38,69.36,35.4,35,3,0
307,18,1,5,3,1,36.7,70.28,23.31,37,0,0
308,566,4,3,1,1,26.91,44.27,23.76,18,0,45
309,570,3,1,6,6,30.83,53.08,47.02,7,0,5
310,686,3,4,1,3,31.98,55.89,57.6,37,4,0
311,626,1,4,7,2,30.46,48.84,33.31,23,1,25
312,854,1,2,7,7,29.24,54.29,47.85,14,9,32
313,962,2,3,4,1,31.38,67.84,59.74,12,0,34
314,155,4,2,4,2,29.08,54.19,61.72,41,0,1
315,490,2,1,2,1,40.0,60.8,50.41,12,10,23
316,785,2,1,3,3,23.18,53.55,20.0,19,15,15
317,1127,3,1,1,7,32.61,54.79,70.0,40,4,0
318,246,3,5,7,7,36.12,72.17,33.4,9,0,37
319,1199,3,3,1,4,23.88,57.05,35.25,40,3,0
320,1063,3,2,8,1,30.78,64.7,35.01,14,0,12
321,759,2,4,7,1,36.46,65.08,43.87,10,8,27
322,538,3,3,9,1,40.0,77.61,29.53,7,4,45
323,921,4,1,11,1,32.0,57.73,35.48,42,0,0
324,408,3,1,9,4,32.69,69.21,22.19,4,10,26
325,525,3,1,9,5,29.63,45.37,21.76,14,0,11
326,828,3,4,8,2,34.22,56.39,49.89,25,0,19
327,903,1,5,11,1,36.56,76.26,36.26,7,11,34
328,36,4,3,8,4,37.0,62.94,55.83,35,1,0
329,685,4,1,5,6,37.66,74.6,28.6,36,3,3
330,20,2,5,3,6,36.42,75.12,46.56,14,2,37
331,321,2,2,3,1,29.92,50.41,62.32,8,9,32
332,512,3,3,4,1,31.96,49.13,52.38,8,0,38
333,400,1,1,2,4,38.65,62.79,58.95,10,0,43
334,654,2,4,10,2,24.94,50.42,55.75,35,0,1
335,972,2,1,8,7,26.11,52.09,44.94,25,4,22
336,471,3,2,1,2,39.68,75.02,51.69,3,4,31
337,1166,3,4,5,1,32.74,64.14,68.56,12,0,39
338,1115,2,3,10,2,25.3,50.31,45.77,14,1,36
339,834,2,3,6,1,29.37,61.61,33.0,4,9,26
340,727,4,4,9,7,35.12,61.28,35.3,11,0,36
341,854,1,4,10,2,31.57,46.3,28.05,36,0,0
342,51,4,1,11,3,38.0,61.23,26.32,9,4,38
343,575,2,1,1,6,36.29,71.0,56.12,38,0,0
344,1213,4,1,8,6,32.76,61.99,68.62,13,0,38
345,1148,4,5,11,5,33.01,61.9,32.87,41,3,1
346,150,2,1,7,5,27.09,64.13,38.0,28,0,27
347,314,3,5,11,5,30.15,68.23,37.36,11,0,9
348,570,2,2,6,6,31.12,54.41,55.18,12,0,31
349,305,3,4,11,6,31.08,61.81,34.73,38,3,0
350,682,2,2,4,1,34.99,65.23,27.62,1,17,13
351,838,2,1,5,4,28.29,46.16,41.47,3,12,16
352,1078,2,3,1,7,37.61,61.11,36.72,10,2,42
353,1003,1,5,1,4,36.02,69.03,54.45,21,0,22
354,444,3,4,10,3,28.58,41.09,30.84,21,0,22
355,613,1,1,10,6,24.6,52.29,30.92,16,0,39
356,993,2,5,2,1,29.87,56.39,37.84,13,4,6
357,264,4,5,5,1,29.85,47.2,57.02,27,0,20
358,1077,1,3,5,6,26.12,63.44,63.43,5,10,36
359,1004,3,5,11,6,34.94,57.44,52.37,5,3,5
360,5,2,1,7,1,31.59,63.18,56.9,16,4,36
361,1126,1,3,4,1,37.33,67.17,37.59,11,0,42
362,1219,4,3,10,2,24.02,45.09,67.89,37,1,2
363,774,1,2,11,2,33.56,66.29,26.04,43,2,2
364,877,3,2,1,4,30.78,50.3,52.95,25,0,22
365,992,1,2,3,1,32.39,66.19,63.37,10,7,26
366,884,4,1,1,7,31.26,67.75,26.57,23,2,22
367,47,4,4,3,1,38.04,69.01,42.8,9,8,32
368,867,3,4,7,3,32.73,62.66,34.5,12,1,44
369,823,4,2,7,1,27.79,60.14,41.16,37,0,4
370,936,2,1,8,4,32.24,55.75,45.85,44,0,0
371,656,4,1,8,5,31.18,60.59,20.77,12,0,42
372,269,2,1,3,5,34.04,65.18,55.33,12,7,32
373,370,1,1,8,3,28.92,49.12,20.0,11,14,31
374,636,2,4,11,1,36.08,74.86,38.71,8,20,21
375,1129,2,5,5,7,32.57,62.47,37.05,14,3,36
376,657,1,5,3,2,32.53,51.27,44.71,38,0,4
377,120,4,4,7,2,25.19,60.71,52.06,26,0,25
378,831,2,3,11,4,28.66,47.45,44.04,36,0,4
379,1082,4,5,7,1,24.59,58.22,64.12,9,14,12
380,741,1,2,10,3,25.71,59.93,51.81,8,0,37
381,117,3,2,11,6,28.24,54.62,35.02,10,0,12
382,791,4,2,4,3,33.95,61.0,45.29,18,3,17
383,1150,4,2,9,6,33.88,59.02,35.32,11,4,27
384,1013,3,2,6,5,30.87,58.93,70.0,2,9,32
385,1082,3,5,4,7,33.25,69.66,51.62,36,0,4
386,634,1,1,8,5,30.25,72.59,57.4,4,0,15
387,513,4,5,6,7,31.59,67.65,56.8,7,3,42
388,802,4,1,3,7,37.68,62.61,54.72,41,0,4
389,1119,1,4,6,3,30.23,70.15,26.2,19,0,33
390,1141,4,3,3,3,30.29,58.63,51.24,24,0,16
391,560,2,4,7,5,27.47,53.06,40.0,8,0,40
392,488,2,1,2,5,29.05,52.0,53.16,19,0,15
393,1260,2,1,10,5,22.27,58.06,38.54,2,16,19
394,897,4,5,2,2,26.4,57.87,57.72,36,0,2
395,1212,2,3,9,5,24.38,52.09,25.67,13,10,26
396,704,2,1,8,7,33.24,51.28,65.32,5,14,29
397,581,1,1,1,7,27.41,52.54,41.48,9,0,10
398,790,1,2,4,4,32.64,77.53,39.18,12,0,34
399,861,3,4,1,3,27.61,71.93,41.84,18,0,29
400,247,3,5,1,2,36.71,76.2,24.17,10,0,17
401,1099,3,2,6,4,31.72,71.9,41.1,14,2,38
402,154,3,3,2,7,38.33,70.83,45.85,1,14,17
403,997,1,5,8,3,31.36,44.29,43.74,10,0,40
404,1109,1,3,4,1,31.97,57.04,39.26,23,0,26
405,697,1,2,9,2,30.86,66.38,42.56,15,0,41
406,1243,2,3,5,1,29.81,63.42,20.0,12,0,37
407,1092,2,2,1,3,30.18,68.42,36.95,34,2,1
408,1071,3,4,2,4,25.23,62.86,38.43,41,0,4
409,1009,2,4,4,5,37.04,68.38,51.4,4,9,28
410,94,4,2,7,2,26.14,52.36,40.32,24,0,17
411,958,1,5,9,2,25.71,49.13,33.26,5,10,31
412,1012,3,3,7,5,30.12,69.25,21.43,39,1,4
413,453,3,1,2,1,27.34,63.01,48.83,21,2,23
414,1227,4,2,8,2,30.29,69.44,58.64,40,0,0
415,912,2,2,5,6,33.67,68.27,57.75,34,4,0
416,218,3,3,9,4,34.7,66.76,69.2,7,14,16
417,474,2,4,6,6,34.38,60.73,50.97,9,11,8
418,432,2,1,11,4,33.48,62.18,48.6,9,3,13
419,341,4,2,10,2,33.6,60.98,68.08,13,10,30
420,551,3,3,9,7,31.74,62.32,52.3,6,4,40
421,357,2,1,6,4,27.11,49.05,43.91,18,4,27
422,23,2,5,11,4,29.56,70.11,44.74,44,0,0
423,522,4,3,1,6,33.71,58.93,43.88,18,0,33
424,1123,4,4,4,2,21.93,44.5,63.49,15,1,7
425,802,2,4,4,4,33.53,60.05,37.18,12,1,40
426,1203,4,4,3,6,25.31,51.61,33.05,17,0,40
427,1246,2,5,3,1,31.78,65.4,52.23,18,0,42
428,762,3,5,8,5,34.68,58.89,27.43,39,1,0
429,442,1,2,5,3,39.75,60.73,38.94,11,0,42
430,769,4,5,6,7,22.69,51.37,61.27,8,0,19
431,1016,1,1,11,1,24.06,40.2,34.24,2,19,12
432,516,2,2,9,3,38.25,74.83,48.66,36,0,3
433,1040,2,4,5,5,40.0,64.51,51.07,36,0,0
434,792,2,2,5,4,35.73,71.25,45.65,12,3,30
435,336,1,1,4,6,31.33,52.44,48.45,40,0,2
436,258,2,1,4,2,32.64,71.49,45.45,9,17,16
437,497,4,4,5,5,24.83,51.23,46.97,19,0,18
438,896,3,3,6,3,30.57,73.76,66.01,18,0,39
439,160,3,1,10,4,27.61,52.18,38.91,36,0,3
440,852,4,5,1,3,25.3,51.45,24.59,9,9,32
441,690,3,3,8,7,31.71,58.44,35.47,14,0,34
442,380,1,2,1,1,25.28,55.82,32.12,6,12,13
443,957,2,3,9,5,29.97,58.25,31.86,38,0,0
444,691,2,4,11,4,32.38,58.5,45.02,8,0,38
445,1191,2,5,9,1,30.69,59.44,51.07,26,0,17
446,1067,1,2,5,3,33.71,71.14,43.81,37,0,4
447,285,1,1,2,5,26.91,52.52,30.81,17,3,41
448,397,1,4,10,7,29.32,51.48,40.11,20,0,22
449,12,4,5,11,5,25.99,55.37,65.56,9,4,12
450,499,1,1,11,6,33.65,66.5,65.99,9,8,32
451,754,3,4,11,5,29.23,55.19,29.27,20,2,20
452,35,4,3,6,7,25.5,65.19,38.34,40,0,2
453,727,4,3,11,7,26.92,56.83,44.88,34,2,3
454,849,4,3,7,6,35.51,70.33,59.14,40,0,0
455,90,1,5,10,1,27.1,61.29,41.14,28,3,16
456,776,4,4,7,1,32.66,55.25,20.0,0,13,16
457,605,1,2,4,2,35.8,55.37,57.55,7,8,27
458,970,1,5,4,2,29.38,54.47,52.56,22,0,24
